Time	Magnitude	Latitude	Longitude	Depth
2007.190735	5.8	-21.03	169.811	60
2007.193372	5.62	-8.175	117.858	30.4
2007.205877	6.01	4.577	-78.508	10
2007.211196	5.73	-60.716	154.344	10
2007.21768	5.91	-3.388	86.73	21
2007.224446	5.8	-53.849	140.932	10
2007.224644	5.51	-19.692	-70.152	32.8
2007.225264	7.14	-20.609	169.464	34
2007.226781	5.74	38.396	20.453	15
2007.228778	5.51	22.045	143.104	15
2007.23583	5.82	-6.211	29.75	10.3
2007.237814	5.62	-31.65	-71.853	20
2007.2407	5.73	-14.596	178.026	10
2007.243078	6.24	-56.024	-123.065	10
2007.243854	5.62	1.305	122.723	25
2007.246711	8.07	-8.389	157.092	15
2007.247414	6.15	-45.34	-72.85	25
2007.254845	5.9	-17.213	66.747	15
2007.255039	5.72	31.001	141.664	26.7
2007.255695	5.61	-17.201	-176.821	22.1
2007.255755	6.35	37.384	-24.658	14
2007.258716	5.93	-55.266	-123.54	10
2007.26139	5.76	-39.845	46.081	10
2007.27657	5.99	-61.764	161.352	10
2007.277858	5.96	17.258	-100.308	34
2007.279307	6.08	-35.051	-108.83	10
2007.285581	5.82	-63.33	170.115	10
2007.286943	6.37	-58.054	148.188	10
2007.296423	6.14	25.612	125.275	15
2007.298612	5.71	27.492	128.527	46.5
2007.301089	6.05	-13.867	166.728	47
2007.311417	5.66	7.42	126.46	32
2007.316455	5.9	5.353	94.631	38
2007.319877	6.06	-60.813	-20.396	10
2007.325536	5.61	-53.987	5.835	15
2007.333555	5.55	-34	-178.911	17.6
2007.336084	6.22	-1.476	-14.95	9.3
2007.338451	6.06	34.315	81.96	10
2007.342283	5.52	17.355	120.146	64.1
2007.3442	6.02	-44.902	-80.766	15
2007.357919	5.89	-5.517	146.209	50
2007.364961	5.58	-55.323	-128.016	10
2007.368576	6.29	20.484	100.771	14.8
2007.370636	5.52	-2.799	136.857	23.9
2007.372517	5.96	-30.727	-178.07	30
2007.375678	5.75	-7.339	151.968	20
2007.387257	5.7	52.312	-31.833	10
2007.388907	5.65	21.929	-96.274	25
2007.389586	5.57	-9.533	118.827	65
2007.404244	6.04	-1.065	127.41	29.1
